time,ax,ay,az,atotal
2.956,0.04,-0.06,0.06,0.09
2.966,0.05,-0.03,0.02,0.07
2.976,0.05,-0.02,0.01,0.06
2.986,0.04,-0.01,0.03,0.05
2.997,0.05,-0.02,0.03,0.06
3.006,0.05,-0.05,0.04,0.08
3.017,0.06,-0.07,0.01,0.09
3.027,0.06,-0.07,-0.01,0.09
3.037,0.06,-0.04,-0.01,0.07
3.047,0.06,0.01,0.02,0.06
3.057,0.03,-0.02,0.05,0.06
3.067,0.01,-0.03,0.05,0.06
3.077,0.02,-0.01,0.05,0.06
3.087,0.06,0.01,0.06,0.08
3.097,0.06,0.04,0.03,0.08
3.107,0.08,0.06,0.01,0.10
3.117,0.09,0.06,-0.00,0.10
3.127,0.09,-0.01,0.05,0.10
3.137,0.11,-0.07,0.06,0.14
3.147,0.13,-0.10,0.03,0.17
3.157,0.12,-0.10,0.04,0.16
3.167,0.09,-0.11,0.07,0.16
3.178,0.06,-0.06,0.07,0.11
3.188,0.05,0.02,0.08,0.09
3.198,0.07,0.02,0.07,0.10
3.208,0.06,-0.02,0.05,0.08
3.218,0.07,-0.05,0.02,0.09
3.228,0.12,-0.10,-0.01,0.15
3.238,0.13,-0.10,-0.03,0.17
3.248,0.12,-0.09,-0.05,0.16
3.258,0.13,-0.03,-0.03,0.14
3.268,0.10,0.02,-0.03,0.11
3.278,0.06,0.07,-0.04,0.10
3.288,0.05,0.08,-0.07,0.11
3.298,0.05,0.01,-0.09,0.10
3.308,0.05,-0.04,-0.07,0.10
3.318,0.07,-0.06,-0.06,0.11
3.328,0.09,-0.05,-0.04,0.11
3.339,0.09,-0.02,-0.04,0.10
3.348,0.10,-0.01,-0.02,0.10
3.359,0.08,0.01,-0.01,0.08
3.369,0.05,-0.02,-0.03,0.06
3.379,0.06,-0.05,-0.03,0.08
3.389,0.08,-0.08,-0.02,0.11
3.399,0.13,-0.06,0.02,0.15
3.409,0.14,-0.04,0.03,0.15
3.419,0.15,-0.00,0.01,0.15
3.429,0.14,0.02,-0.02,0.15
3.439,0.11,0.02,-0.03,0.12
3.449,0.08,0.01,-0.01,0.08
3.459,0.07,-0.01,0.01,0.08
3.469,0.06,-0.02,-0.02,0.07
3.479,0.07,-0.06,-0.02,0.10
3.489,0.04,-0.11,-0.01,0.12
3.499,0.02,-0.09,-0.01,0.10
3.509,0.01,-0.06,-0.00,0.06
3.520,0.01,0.01,-0.05,0.05
3.529,0.01,0.06,-0.06,0.09
3.540,-0.01,0.08,-0.10,0.13
3.550,-0.02,0.06,-0.11,0.12
3.560,-0.01,-0.01,-0.06,0.06
3.570,0.03,-0.04,0.01,0.05
3.580,0.08,-0.08,0.04,0.12
3.590,0.10,-0.10,0.04,0.15
3.600,0.11,-0.08,0.04,0.14
3.610,0.09,-0.06,0.03,0.11
3.620,0.11,-0.04,0.05,0.13
3.630,0.13,-0.03,0.04,0.14
3.640,0.10,-0.04,0.02,0.11
3.650,0.10,-0.04,0.01,0.11
3.660,0.07,-0.04,-0.01,0.09
3.670,0.07,-0.04,-0.04,0.09
3.680,0.07,-0.05,-0.06,0.10
3.690,0.02,-0.04,-0.07,0.08
3.700,0.01,0.00,-0.06,0.06
3.710,0.01,0.06,-0.03,0.06
3.721,0.01,0.06,0.02,0.07
3.731,0.05,0.06,0.03,0.09
3.741,0.10,0.04,0.01,0.10
3.751,0.11,-0.04,0.03,0.13
3.761,0.11,-0.12,0.08,0.18
3.771,0.13,-0.14,0.06,0.20
3.781,0.13,-0.09,0.03,0.16
3.791,0.10,-0.03,-0.02,0.10
3.801,0.08,0.01,-0.04,0.09
3.811,0.03,0.01,-0.03,0.05
3.821,-0.01,-0.01,-0.00,0.01
3.831,0.00,-0.04,0.05,0.06
3.841,0.02,-0.03,0.09,0.09
3.851,0.04,0.02,0.08,0.09
3.861,0.07,0.04,0.03,0.09
3.871,0.09,0.02,0.01,0.09
3.881,0.10,-0.03,0.01,0.10
3.891,0.09,-0.06,-0.01,0.11
3.902,0.05,-0.08,-0.00,0.10
3.912,0.03,-0.03,-0.01,0.05
3.922,0.01,-0.04,-0.02,0.04
3.932,-0.03,-0.00,-0.02,0.04
3.942,-0.03,-0.01,-0.00,0.03
3.952,-0.01,-0.05,0.04,0.06
3.962,0.01,-0.06,0.05,0.08
3.972,0.05,-0.08,0.06,0.11
3.982,0.06,-0.07,0.03,0.10
3.992,0.07,-0.04,0.01,0.09
4.002,0.08,-0.01,0.01,0.08
4.012,0.06,0.02,0.03,0.07
4.022,0.05,0.02,0.05,0.07
4.032,0.02,-0.03,0.03,0.05
4.042,0.02,-0.08,0.03,0.09
4.052,0.03,-0.08,-0.01,0.09
4.063,0.05,-0.03,-0.08,0.09
4.072,0.06,-0.01,-0.10,0.12
4.083,0.04,-0.01,-0.08,0.09
4.093,0.02,-0.01,-0.06,0.06
4.103,0.03,0.00,-0.02,0.04
4.113,0.02,0.00,0.02,0.03
4.123,0.05,0.01,0.02,0.05
4.133,0.07,0.01,-0.03,0.08
4.143,0.06,0.00,-0.04,0.07
4.153,0.04,-0.02,-0.01,0.04
4.163,0.04,-0.05,0.01,0.07
4.173,0.04,-0.07,0.03,0.09
4.183,0.04,-0.06,0.03,0.08
4.193,0.06,-0.04,0.02,0.07
4.203,0.09,-0.04,-0.00,0.10
4.213,0.13,-0.03,-0.03,0.13
4.223,0.11,-0.01,-0.05,0.12
4.233,0.11,0.03,-0.05,0.13
4.244,0.12,0.04,-0.04,0.13
4.253,0.13,0.02,-0.05,0.14
4.264,0.06,0.00,-0.04,0.07
4.273,0.00,-0.03,-0.03,0.05
4.284,-0.02,-0.03,0.01,0.04
4.294,0.04,-0.03,0.07,0.09
4.304,0.08,-0.06,0.06,0.12
4.314,0.10,-0.05,0.02,0.12
4.324,0.08,-0.05,0.01,0.09
4.334,0.07,-0.06,-0.02,0.09
4.344,0.04,-0.06,-0.07,0.10
4.354,0.03,-0.04,-0.04,0.07
4.364,0.04,-0.03,0.02,0.05
4.374,0.03,-0.04,0.08,0.10
4.384,0.04,-0.04,0.06,0.08
4.394,0.04,-0.05,-0.03,0.07
4.404,0.05,-0.03,-0.07,0.09
4.414,0.03,0.00,-0.02,0.03
4.424,0.04,0.04,0.09,0.10
4.434,0.06,0.07,0.13,0.16
4.444,0.07,0.04,0.08,0.11
4.454,0.08,-0.01,-0.01,0.08
4.465,0.08,-0.03,-0.07,0.11
4.475,0.08,-0.04,-0.04,0.10
4.485,0.07,-0.04,0.01,0.08
4.495,0.07,-0.05,0.07,0.11
4.505,0.09,-0.05,0.06,0.12
4.515,0.09,-0.06,0.04,0.11
4.525,0.06,-0.05,0.01,0.08
4.535,0.03,-0.06,0.04,0.07
4.545,0.03,-0.05,0.09,0.11
4.555,0.06,-0.02,0.14,0.15
4.565,0.11,-0.01,0.12,0.16
4.575,0.08,-0.03,0.05,0.10
4.586,0.05,-0.04,-0.02,0.07
4.595,0.00,-0.02,-0.05,0.05
4.606,-0.01,0.05,-0.07,0.09
4.615,-0.09,-0.13,-0.08,0.18
4.625,-0.14,-0.14,-0.03,0.20
4.635,-0.11,-0.05,-0.05,0.13
4.645,-0.04,0.01,-0.10,0.11
4.656,-0.03,0.03,-0.16,0.17
4.666,0.01,0.06,-0.15,0.16
4.676,0.03,0.04,-0.11,0.12
4.686,0.03,-0.00,-0.08,0.08
4.696,0.02,-0.03,-0.04,0.06
4.706,-0.03,-0.04,-0.03,0.06
4.716,-0.03,-0.02,-0.03,0.05
4.726,-0.02,0.03,-0.02,0.04
4.736,-0.01,0.03,-0.01,0.03
4.746,0.00,0.02,-0.01,0.02
4.756,0.02,0.00,-0.00,0.03
4.766,0.04,-0.04,-0.02,0.05
4.776,0.04,-0.05,-0.03,0.07
4.786,0.03,-0.05,-0.02,0.06
4.796,0.04,-0.06,-0.02,0.07
4.807,0.01,-0.09,-0.02,0.09
4.817,0.00,-0.08,-0.01,0.09
4.827,-0.00,-0.03,-0.01,0.03
4.837,0.02,0.01,-0.06,0.07
4.847,0.03,-0.01,-0.12,0.12
4.857,-0.00,-0.01,-0.09,0.09
4.867,-0.04,0.02,0.02,0.04
4.877,0.00,0.01,0.11,0.11
4.887,0.07,-0.09,0.07,0.13
4.897,0.13,-0.12,0.01,0.17
4.907,0.16,-0.11,-0.00,0.19
4.917,0.13,-0.06,-0.01,0.15
