time,ax,ay,az,atotal
2.142,0.05,0.01,0.06,0.08
2.152,0.04,-0.00,0.06,0.07
2.162,0.01,-0.01,0.05,0.06
2.172,0.00,-0.02,0.04,0.04
2.182,0.00,-0.03,0.04,0.05
2.192,-0.01,-0.04,-0.01,0.04
2.202,0.00,-0.03,-0.03,0.04
2.212,0.03,-0.01,0.00,0.03
2.222,0.06,0.00,0.02,0.06
2.232,0.07,-0.00,0.03,0.08
2.242,0.07,-0.00,0.01,0.07
2.253,0.03,-0.00,-0.00,0.03
2.263,0.00,0.00,-0.01,0.01
2.273,0.01,0.02,0.03,0.04
2.283,0.05,-0.00,0.07,0.09
2.293,0.06,-0.02,0.11,0.13
2.303,0.07,-0.05,0.10,0.13
2.313,0.06,-0.04,0.04,0.08
2.323,-0.00,-0.05,0.02,0.05
2.333,-0.01,-0.03,0.03,0.04
2.343,-0.01,-0.01,-0.01,0.02
2.353,0.02,0.02,-0.02,0.03
2.363,0.04,0.05,-0.02,0.07
2.373,0.07,0.04,-0.02,0.09
2.383,0.08,0.02,-0.03,0.09
2.393,0.08,-0.00,-0.03,0.09
2.403,0.07,-0.02,-0.04,0.08
2.413,0.04,-0.04,-0.03,0.07
2.423,0.02,-0.03,-0.01,0.04
2.434,0.01,-0.00,-0.01,0.01
2.444,-0.02,0.03,-0.02,0.04
2.454,-0.05,0.04,-0.03,0.08
2.464,-0.06,0.03,-0.01,0.07
2.474,-0.01,-0.00,-0.00,0.02
2.484,0.01,-0.03,0.00,0.03
2.494,0.04,-0.02,-0.02,0.05
2.504,0.03,-0.01,-0.02,0.03
2.514,0.00,-0.01,-0.02,0.02
2.524,-0.02,0.00,-0.03,0.04
2.534,-0.01,-0.01,0.00,0.01
2.544,0.01,-0.00,0.01,0.01
2.554,0.05,0.01,0.03,0.06
2.564,0.10,0.01,0.03,0.10
2.574,0.13,0.00,0.00,0.13
2.584,0.12,0.00,-0.01,0.12
2.595,0.09,-0.00,0.02,0.09
2.605,0.07,-0.03,0.04,0.08
2.615,0.06,-0.07,0.06,0.12
2.625,0.07,-0.06,0.06,0.11
2.635,0.05,-0.04,0.03,0.07
2.645,0.01,-0.02,0.02,0.03
2.655,0.01,-0.00,-0.01,0.02
2.665,0.02,-0.00,-0.01,0.02
2.675,0.02,-0.00,0.01,0.02
2.685,0.03,-0.01,0.01,0.03
2.695,0.03,0.00,0.00,0.03
2.705,0.01,0.02,-0.02,0.03
2.715,-0.01,0.02,-0.04,0.04
2.725,-0.04,0.01,-0.05,0.06
2.735,-0.03,0.03,-0.06,0.07
2.745,0.02,0.02,-0.04,0.05
2.755,0.06,0.01,-0.01,0.06
2.765,0.08,0.01,-0.02,0.08
2.775,0.07,-0.01,0.01,0.07
2.785,0.08,-0.02,0.03,0.09
2.795,0.08,-0.02,0.03,0.09
2.806,0.08,-0.02,0.02,0.08
2.816,0.05,-0.03,0.03,0.07
2.826,0.04,-0.04,0.03,0.06
2.836,0.03,-0.03,0.04,0.06
2.846,0.01,-0.03,0.04,0.05
2.856,0.03,-0.02,0.05,0.06
2.866,0.03,-0.01,0.03,0.04
2.876,0.03,0.01,0.02,0.04
2.886,0.04,-0.00,-0.01,0.04
2.896,0.03,-0.01,-0.01,0.04
2.906,0.02,-0.02,-0.02,0.03
2.916,0.04,-0.02,-0.02,0.04
2.926,0.04,-0.02,0.01,0.04
2.936,0.06,-0.01,0.02,0.06
2.946,0.07,-0.00,0.03,0.07
2.957,0.06,-0.01,0.02,0.06
2.966,0.07,-0.00,0.04,0.08
2.977,0.06,0.01,0.03,0.07
2.987,0.03,0.00,0.02,0.03
2.997,0.01,0.00,0.01,0.01
3.007,0.00,-0.01,-0.01,0.01
3.017,-0.01,-0.01,-0.02,0.02
3.027,0.01,-0.01,0.01,0.02
