time,ax,ay,az,atotal
3.551,0.02,-0.01,-0.01,0.02
3.560,0.02,-0.01,0.03,0.04
3.571,0.01,0.00,0.08,0.09
3.581,0.02,-0.01,0.08,0.08
3.591,0.03,-0.01,0.03,0.04
3.601,0.03,-0.01,-0.03,0.04
3.611,0.02,0.01,-0.05,0.06
3.621,0.01,0.01,-0.06,0.07
3.631,0.00,0.01,-0.05,0.05
3.641,0.01,0.03,0.01,0.03
3.651,0.01,0.02,0.04,0.05
3.661,-0.01,-0.01,0.05,0.06
3.671,-0.01,-0.01,0.08,0.08
3.681,-0.02,-0.01,0.07,0.08
3.691,-0.01,-0.04,0.07,0.08
3.701,0.01,-0.07,0.09,0.12
3.711,0.03,-0.08,0.10,0.13
3.721,0.06,-0.06,0.07,0.11
3.732,0.09,-0.01,0.03,0.09
3.742,0.10,0.05,-0.07,0.13
3.752,0.06,0.11,-0.11,0.17
3.762,0.01,0.11,-0.09,0.14
3.772,-0.06,0.04,-0.05,0.09
3.782,-0.07,-0.02,0.05,0.09
3.792,-0.05,-0.10,0.10,0.15
3.802,-0.06,-0.12,0.10,0.17
3.812,-0.04,-0.12,0.08,0.15
3.822,-0.01,-0.06,0.01,0.06
3.832,-0.03,0.01,-0.01,0.03
3.842,-0.03,0.05,-0.00,0.06
3.852,-0.02,0.08,-0.00,0.08
3.862,0.01,0.05,0.01,0.05
3.872,0.02,0.02,0.01,0.03
3.882,0.02,-0.02,0.01,0.03
3.892,0.03,-0.03,0.04,0.05
3.902,0.02,-0.04,0.04,0.06
3.912,0.01,-0.03,0.03,0.04
3.922,0.01,-0.01,0.02,0.03
3.933,0.02,-0.01,0.00,0.02
3.943,0.03,-0.00,-0.02,0.04
3.953,0.04,0.03,-0.02,0.05
3.963,0.03,0.03,-0.02,0.05
3.973,0.02,0.04,0.02,0.05
3.983,0.02,0.03,0.04,0.05
3.993,0.01,0.00,0.03,0.03
4.003,0.02,-0.00,0.02,0.03
4.013,0.04,-0.02,0.03,0.05
4.023,0.04,-0.00,0.01,0.04
4.033,0.03,0.01,0.02,0.04
4.043,0.02,-0.01,-0.01,0.02
4.053,-0.01,-0.04,-0.01,0.04
4.063,-0.04,-0.06,0.02,0.07
4.073,-0.05,-0.07,0.05,0.10
4.083,-0.04,-0.07,0.06,0.10
4.094,-0.02,-0.07,0.06,0.09
4.104,-0.01,-0.05,0.04,0.06
4.114,-0.02,-0.02,0.03,0.05
4.124,-0.04,0.00,0.03,0.05
4.134,-0.02,0.03,0.04,0.05
4.144,-0.02,0.04,0.02,0.05
4.154,-0.01,0.05,0.02,0.06
4.164,-0.01,0.03,0.01,0.04
4.174,-0.00,0.02,0.00,0.02
4.184,0.01,0.03,-0.01,0.03
4.194,0.03,0.02,-0.01,0.04
4.204,0.02,0.03,0.00,0.03
4.214,0.01,0.02,0.02,0.03
4.224,-0.01,0.02,0.04,0.05
4.234,-0.01,0.01,0.02,0.02
4.244,0.02,-0.02,0.02,0.03
4.255,0.02,-0.04,0.03,0.06
4.265,0.03,-0.06,0.03,0.07
4.275,0.03,-0.09,0.04,0.10
4.285,0.04,-0.09,0.04,0.10
4.295,0.04,-0.06,0.02,0.07
4.305,0.02,-0.04,0.02,0.05
4.315,-0.00,-0.03,0.01,0.03
4.325,-0.01,0.00,0.03,0.03
4.335,-0.02,0.01,0.02,0.03
4.345,-0.04,0.01,0.04,0.06
4.355,-0.04,0.00,0.04,0.05
4.365,-0.03,-0.00,0.02,0.04
4.375,-0.03,-0.00,-0.01,0.03
4.385,-0.01,0.00,-0.01,0.01
4.395,-0.01,0.02,0.02,0.03
4.405,-0.03,0.04,0.05,0.07
4.415,-0.01,0.06,0.06,0.09
4.425,0.01,0.07,0.07,0.10
4.436,0.07,0.09,0.05,0.12
4.446,0.07,0.08,-0.03,0.11
4.456,0.04,0.05,-0.07,0.10
4.466,0.02,0.01,-0.06,0.07
4.476,-0.03,-0.03,-0.03,0.05
4.486,-0.03,-0.10,0.03,0.11
4.496,-0.03,-0.14,0.09,0.16
4.506,-0.03,-0.15,0.09,0.18
4.516,-0.02,-0.14,0.06,0.16
4.526,0.00,-0.11,0.05,0.12
4.536,-0.01,-0.08,0.02,0.08
4.546,-0.02,-0.04,0.03,0.05
4.556,-0.03,-0.00,0.02,0.03
4.566,-0.03,0.03,0.02,0.04
4.576,-0.03,0.04,-0.01,0.05
4.586,-0.02,0.06,0.01,0.06
4.597,-0.02,0.06,0.04,0.07
